Date,Time,Open,High,Low,Close,Volume
2025-04-21,14:45,3418.12,3418.93,3408.79,3416.7,15635
2025-04-21,15:00,3416.72,3418.61,3407.69,3411.98,15072
2025-04-21,15:15,3412.0,3421.04,3411.17,3420.7,10487
2025-04-21,15:30,3420.69,3426.1,3414.73,3423.39,11802
2025-04-21,15:45,3423.39,3424.4,3418.9,3422.89,9040
2025-04-21,16:00,3422.9,3424.0,3415.84,3416.54,8124
2025-04-21,16:15,3416.55,3417.08,3413.58,3414.36,7529
2025-04-21,16:30,3414.36,3415.53,3410.13,3413.09,6940
2025-04-21,16:45,3413.1,3416.01,3412.78,3414.52,5977
2025-04-21,17:00,3414.54,3415.0,3406.01,3409.01,9877
2025-04-21,17:15,3408.74,3415.29,3408.16,3414.05,9546
2025-04-21,17:30,3414.08,3421.2,3414.04,3417.78,6402
2025-04-21,17:45,3417.77,3422.86,3417.24,3422.46,5164
2025-04-21,18:00,3422.45,3424.74,3418.98,3419.73,9370
2025-04-21,18:15,3419.74,3425.01,3417.58,3424.82,6698
2025-04-21,18:30,3424.84,3426.62,3424.51,3425.71,4890
2025-04-21,18:45,3425.71,3426.7,3424.88,3426.37,5834
2025-04-21,19:00,3426.4,3430.5,3425.53,3427.85,6480
2025-04-21,19:15,3427.84,3429.22,3422.08,3422.12,6644
2025-04-21,19:30,3422.11,3424.19,3418.33,3418.34,6967
2025-04-21,19:45,3418.35,3423.91,3417.44,3423.39,7126
2025-04-21,20:00,3423.4,3424.17,3419.66,3420.95,2788
2025-04-21,20:15,3421.22,3423.54,3420.86,3422.26,2617
2025-04-21,20:30,3422.26,3425.29,3421.5,3424.19,1723
2025-04-21,20:45,3424.19,3427.09,3423.71,3423.84,1759
2025-04-21,22:00,3423.87,3433.44,3423.32,3432.07,2082
2025-04-21,22:15,3432.07,3435.93,3430.77,3433.59,2159
2025-04-21,22:30,3433.58,3433.58,3428.76,3430.16,1559
2025-04-21,22:45,3430.22,3433.5,3428.04,3431.02,1824
2025-04-21,23:00,3431.05,3434.52,3429.3,3433.75,2975
2025-04-21,23:15,3433.76,3441.53,3433.76,3441.34,6757
2025-04-21,23:30,3441.33,3444.29,3439.73,3441.72,5964
2025-04-21,23:45,3441.69,3441.69,3431.71,3434.43,9970
2025-04-22,00:00,3434.32,3435.38,3411.9,3417.25,15443
2025-04-22,00:15,3417.27,3431.82,3415.33,3427.67,14325
2025-04-22,00:30,3427.68,3429.98,3418.5,3424.74,10267
